,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,total_beds,price_per_person
0,50646,,,,No,Yes,Bukit Timah,1.33432,103.78521,Private room,2,1.0,1.0,80.0,Yes,18,0,0,4.56,4.72,4.78,4.78,4.94,4.72,4.5,No,0.19,1.0,40.0
1,71609,within a day,100.0,,No,Yes,Tampines,1.34537,103.95887,Private room,6,1.0,2.0,179.0,Yes,20,0,0,4.44,4.37,4.0,4.63,4.78,4.26,4.32,No,0.16,6.0,29.833333333333332
2,71896,within a day,100.0,,No,Yes,Tampines,1.34754,103.95958,Private room,3,1.0,1.0,82.0,Yes,24,0,0,4.16,4.22,4.09,4.43,4.43,4.17,4.04,No,0.19,1.0,27.333333333333332
3,71903,within a day,100.0,,No,Yes,Tampines,1.34531,103.961,Private room,3,1.0,1.0,82.0,Yes,47,0,0,4.41,4.39,4.52,4.63,4.64,4.5,4.36,No,0.36,2.0,27.333333333333332
4,275343,within a few hours,87.0,77.0,No,Yes,Bukit Merah,1.29015,103.80814,Private room,1,,1.0,52.0,Yes,20,0,0,4.39,4.12,4.24,4.53,4.47,4.53,4.59,No,0.19,1.0,52.0
5,275344,within a few hours,87.0,77.0,No,Yes,Bukit Merah,1.28836,103.81144,Private room,1,1.0,1.0,40.0,Yes,13,1,0,4.55,4.67,4.25,4.67,4.58,4.58,4.5,No,0.11,1.0,40.0
6,294281,within a few hours,95.0,0.0,No,Yes,Newton,1.31142,103.83924,Private room,2,1.0,1.0,72.0,Yes,133,0,0,4.43,4.33,4.16,4.5,4.66,4.52,4.39,No,1.1,1.0,36.0
7,324945,within a few hours,87.0,77.0,No,Yes,Bukit Merah,1.28828,103.8102,Private room,1,0.0,1.0,49.0,Yes,14,0,0,4.2,4.08,4.46,4.69,4.46,4.15,4.08,No,0.12,1.0,49.0
8,330089,within a few hours,87.0,77.0,No,Yes,Bukit Merah,1.28652,103.81225,Private room,1,2.0,,59.0,Yes,10,0,0,4.67,4.56,4.56,4.89,4.78,4.44,4.33,No,0.1,,59.0
9,330095,within a few hours,87.0,77.0,No,Yes,Bukit Merah,1.28636,103.81138,Private room,1,4.0,1.0,59.0,Yes,3,0,0,5.0,5.0,4.5,5.0,5.0,4.5,5.0,No,0.03,1.0,59.0
10,344803,within a day,100.0,,No,Yes,Tampines,1.34917,103.9609,Private room,1,1.5,1.0,48.0,Yes,58,0,0,4.58,4.58,4.44,4.75,4.56,4.65,4.44,No,0.49,1.0,48.0
11,355955,,,,No,Yes,Geylang,1.31374,103.9019,Private room,2,1.0,1.0,65.0,Yes,0,0,0,,,,,,,,No,,1.0,32.5
12,369141,within a few hours,95.0,0.0,No,Yes,Newton,1.31144,103.83784,Private room,2,1.0,1.0,69.0,Yes,81,0,0,4.43,4.45,4.41,4.71,4.76,4.64,4.55,No,0.81,1.0,34.5
13,369145,within a few hours,95.0,0.0,No,Yes,Newton,1.31129,103.83788,Private room,2,1.0,1.0,66.0,Yes,165,0,0,4.39,4.31,4.12,4.65,4.67,4.6,4.32,No,1.4,1.0,33.0
14,395191,within a day,100.0,,No,No,River Valley,1.29335,103.83768,Private room,1,0.0,1.0,59.0,Yes,27,0,0,4.31,4.27,4.08,4.73,4.69,4.58,4.19,No,0.26,1.0,59.0
15,481789,,,,No,No,Tampines,1.34816,103.93238,Private room,2,1.0,1.0,37.0,No,0,0,0,,,,,,,,No,,1.0,18.5
16,604966,a few days or more,0.0,,No,Yes,Bukit Timah,1.33242,103.79417,Entire home/apt,2,2.0,2.0,271.0,Yes,11,0,0,4.57,4.63,3.88,5.0,5.0,4.38,4.63,No,0.1,2.0,135.5
17,606784,,,,No,No,Tampines,1.34361,103.95717,Private room,2,2.0,1.0,83.0,Yes,80,0,0,4.82,4.87,4.79,4.93,4.92,4.59,4.64,No,0.89,1.0,41.5
18,642660,,,,No,No,Rochor,1.30096,103.85206,Private room,2,2.0,1.0,163.0,Yes,0,0,0,,,,,,,,No,,1.0,81.5
19,696136,,,,No,Yes,Bukit Timah,1.30938,103.79812,Private room,2,1.0,1.0,100.0,Yes,28,0,0,4.5,4.28,4.48,4.8,4.8,4.88,4.44,No,0.25,1.0,50.0
20,733863,a few days or more,0.0,,No,No,Serangoon,1.36926,103.87312,Private room,1,1.0,1.0,26.0,Yes,0,0,0,,,,,,,,No,,1.0,26.0
