,id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,price,has_availability,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,total_beds,price_per_person
11,355955,Unknown,0.0,0.0,No,Yes,Geylang,1.31374,103.9019,Private room,2,1.0,1.0,65.0,Yes,0,0,0,,,,,,,,No,,1.0,32.5
18,642660,Unknown,0.0,0.0,No,No,Rochor,1.30096,103.85206,Private room,2,2.0,1.0,163.0,Yes,0,0,0,,,,,,,,No,,1.0,81.5
21,747813,within a day,67.0,70.0,No,Yes,Downtown Core,1.27663,103.84498,Private room,4,1.0,1.0,119.0,Yes,72,0,0,4.63,4.67,4.57,4.7,4.82,4.91,4.5,Yes,0.65,1.0,29.75
22,747816,within a day,67.0,70.0,No,Yes,Downtown Core,1.27585,103.84597,Private room,4,1.0,1.0,119.0,Yes,26,0,0,4.56,4.44,4.32,4.76,4.88,4.96,4.28,Yes,0.23,1.0,29.75
24,765579,within an hour,100.0,97.0,No,Yes,Outram,1.2841,103.84253,Private room,1,2.0,1.0,69.0,Yes,2,0,0,4.0,3.0,3.0,4.0,4.5,4.0,3.0,No,0.02,1.0,69.0
33,1142414,within an hour,100.0,97.0,No,Yes,Kallang,1.31189,103.85901,Private room,1,1.0,1.0,59.0,Yes,2,0,0,3.0,2.5,3.0,4.0,4.5,4.5,3.0,No,0.03,1.0,59.0
37,1244654,within an hour,100.0,97.0,No,Yes,Outram,1.2838,103.84265,Private room,1,1.0,1.0,69.0,Yes,4,0,0,4.5,4.75,4.0,4.75,5.0,5.0,4.75,No,0.06,1.0,69.0
38,1261443,within an hour,100.0,97.0,No,Yes,Outram,1.28458,103.84311,Private room,1,1.0,1.0,55.0,Yes,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,0.05,1.0,55.0
41,1302185,within an hour,100.0,94.0,Yes,No,Geylang,1.31632,103.888,Entire home/apt,5,1.0,1.0,109.0,Yes,91,3,0,4.9,4.92,4.87,4.91,4.99,4.7,4.8,No,0.88,2.0,21.8
42,1363204,within an hour,100.0,97.0,No,Yes,Outram,1.28386,103.84238,Private room,1,1.0,1.0,69.0,Yes,3,0,0,4.0,4.33,3.0,4.67,4.67,5.0,4.33,No,0.03,1.0,69.0
43,1508829,within an hour,100.0,97.0,No,Yes,Kallang,1.3072,103.86359,Private room,1,3.0,1.0,59.0,Yes,9,1,0,4.14,4.29,4.43,4.83,4.57,4.83,4.17,No,0.1,1.0,59.0
47,1615074,within an hour,100.0,97.0,No,Yes,Outram,1.2841,103.84253,Private room,1,1.5,1.0,79.0,Yes,5,1,0,4.4,4.6,4.2,5.0,5.0,4.8,4.2,No,0.11,1.0,79.0
51,1678744,Unknown,72.77864583333333,55.79398359161349,No,Yes,Outram,1.28405,103.84424,Shared room,1,0.0,1.0,63.0,Yes,150,0,0,4.56,4.65,4.43,4.84,4.79,4.86,4.67,No,1.52,1.0,63.0
53,1678755,Unknown,72.77864583333333,55.79398359161349,No,Yes,Outram,1.28405,103.84424,Hotel room,1,0.0,1.0,63.0,Yes,93,0,0,4.67,4.72,4.66,4.88,4.85,4.9,4.62,No,0.97,1.0,63.0
54,1710048,within a few hours,90.0,91.0,Yes,Yes,Outram,1.28466,103.84255,Private room,1,1.0,1.0,69.0,Yes,0,0,0,,,,,,,,Yes,,1.0,69.0
57,1900478,within an hour,100.0,97.0,No,Yes,Geylang,1.31612,103.88343,Private room,1,3.0,1.0,59.0,Yes,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,0.02,1.0,59.0
60,1941719,within a day,67.0,70.0,No,Yes,Downtown Core,1.27525,103.84524,Private room,4,1.0,1.0,119.0,Yes,77,0,0,4.51,4.62,4.63,4.67,4.67,4.85,4.46,Yes,0.81,1.0,29.75
72,2547370,Unknown,72.77864583333333,55.79398359161349,No,No,Rochor,1.30154,103.85941,Private room,4,2.0,1.0,110.0,No,2,0,0,3.0,4.5,3.0,5.0,5.0,4.0,4.0,No,0.05,4.0,27.5
74,2838555,within a day,82.0,70.0,Yes,Yes,Geylang,1.31403,103.88604,Entire home/apt,2,1.0,1.0,80.0,Yes,61,0,0,4.75,4.88,4.79,4.8,4.74,4.42,4.63,No,0.66,1.0,40.0
82,3179271,Unknown,0.0,0.0,No,No,Kallang,1.31029,103.86048,Private room,4,2.0,1.0,150.0,Yes,0,0,0,,,,,,,,No,,4.0,37.5
86,3667894,within an hour,100.0,97.0,No,Yes,Outram,1.28424,103.84275,Private room,1,1.0,1.0,69.0,Yes,2,0,0,4.0,4.0,3.5,4.5,4.5,5.0,4.0,No,0.06,1.0,69.0
88,3717217,within an hour,100.0,100.0,No,Yes,Outram,1.28341,103.84508,Private room,4,2.0,1.0,146.0,Yes,49,0,0,4.51,4.6,4.56,4.74,4.72,4.87,4.63,No,0.56,4.0,36.5
89,3790364,within a day,82.0,70.0,Yes,Yes,Geylang,1.3134,103.88646,Entire home/apt,2,1.0,1.0,82.0,Yes,26,0,0,4.85,4.88,4.8,4.92,4.88,4.48,4.8,No,0.3,1.0,41.0
92,3859180,within a day,82.0,70.0,Yes,Yes,Geylang,1.31403,103.8864,Entire home/apt,2,1.0,1.0,63.0,Yes,81,0,0,4.69,4.89,4.79,4.85,4.86,4.47,4.75,No,0.91,1.0,31.5
93,3863231,within a day,82.0,70.0,Yes,Yes,Geylang,1.31571,103.88657,Entire home/apt,2,1.0,1.0,85.0,Yes,67,1,0,4.85,4.88,4.87,4.95,4.88,4.56,4.73,No,0.75,1.0,42.5
98,4017084,Unknown,0.0,0.0,No,No,Outram,1.28172,103.84074,Private room,2,1.0,1.0,50.0,Yes,0,0,0,,,,,,,,No,,1.0,25.0
107,4252548,within a day,82.0,70.0,Yes,Yes,Geylang,1.31478,103.88757,Entire home/apt,2,1.0,1.0,84.0,Yes,66,0,0,4.79,4.92,4.92,4.89,4.91,4.56,4.8,No,0.76,1.0,42.0
108,4360679,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.3111,103.8812,Private room,2,1.0,1.0,64.0,Yes,133,0,0,4.41,4.61,4.36,4.77,4.69,4.47,4.51,Yes,1.53,1.0,32.0
109,4360902,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.31161,103.88124,Private room,2,1.0,1.0,64.0,Yes,210,0,0,4.21,4.35,4.3,4.73,4.61,4.26,4.36,Yes,2.42,1.0,32.0
112,4441346,within a few hours,100.0,83.70388349514563,Yes,Yes,Kallang,1.29997,103.88536,Entire home/apt,3,1.5,1.0,106.0,Yes,5,0,0,5.0,4.75,5.0,5.0,5.0,4.0,5.0,Yes,0.06,1.0,35.333333333333336
115,4499317,within a few hours,98.0,84.0,Yes,Yes,Downtown Core,1.29489,103.85401,Private room,2,1.0,,196.0,Yes,124,33,0,4.77,4.78,4.77,4.82,4.89,4.89,4.69,Yes,1.43,,98.0
117,4526703,a few days or more,0.0,55.79398359161349,No,No,Kallang,1.30778,103.86171,Private room,1,1.0,1.0,100.0,Yes,6,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,0.07,1.0,100.0
118,4530362,Unknown,0.0,0.0,No,No,Outram,1.28129,103.84591,Private room,2,1.5,1.0,160.0,Yes,0,0,0,,,,,,,,No,,1.0,80.0
121,4561484,within a day,82.0,70.0,Yes,Yes,Geylang,1.31382,103.88587,Entire home/apt,2,1.0,1.0,67.0,Yes,62,1,0,4.71,4.89,4.85,4.82,4.81,4.57,4.84,No,0.75,1.0,33.5
122,4576362,within a few hours,100.0,84.0,No,Yes,Geylang,1.31369,103.88617,Entire home/apt,2,1.0,1.0,90.0,Yes,77,0,0,4.73,4.8,4.87,4.86,4.87,4.38,4.68,No,0.9,1.0,45.0
123,4584539,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.31015,103.88134,Private room,3,1.0,1.0,90.0,Yes,87,0,0,4.33,4.6,4.43,4.56,4.52,4.15,4.38,Yes,1.01,1.0,30.0
125,4613432,within a few hours,100.0,84.0,No,Yes,Geylang,1.31365,103.88608,Entire home/apt,2,1.0,1.0,88.0,Yes,27,0,0,4.63,4.81,4.77,4.85,4.77,4.46,4.73,No,0.31,1.0,44.0
126,4616523,within a few hours,100.0,84.0,No,Yes,Geylang,1.31334,103.88655,Entire home/apt,2,1.0,1.0,65.0,Yes,96,1,0,4.75,4.85,4.81,4.74,4.79,4.51,4.73,No,1.12,1.0,32.5
127,4619928,within a few hours,90.0,91.0,Yes,Yes,Geylang,1.31563,103.88285,Private room,1,3.0,1.0,41.0,Yes,3,0,0,4.33,4.0,4.0,4.67,4.33,4.0,4.0,Yes,0.03,1.0,41.0
129,4645834,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.30962,103.88173,Private room,2,1.0,1.0,64.0,Yes,50,0,0,4.2,4.48,3.96,4.56,4.56,4.12,4.22,Yes,0.59,1.0,32.0
130,4656316,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.31102,103.88332,Private room,2,1.0,1.0,64.0,Yes,49,0,0,4.27,4.31,4.33,4.55,4.69,4.29,4.35,Yes,0.58,1.0,32.0
131,4664392,within a few hours,98.0,59.0,Yes,Yes,Outram,1.28135,103.84868,Entire home/apt,2,1.5,1.0,99.0,Yes,102,12,1,4.57,4.75,4.51,4.83,4.8,4.9,4.44,No,1.2,1.0,49.5
135,4771752,a few days or more,0.0,0.0,No,Yes,Rochor,1.3004,103.84994,Private room,1,1.0,1.0,110.0,Yes,4,0,0,5.0,4.75,5.0,5.0,5.0,5.0,5.0,No,0.06,1.0,110.0
137,4863317,within a few hours,90.0,91.0,Yes,Yes,Outram,1.28511,103.84249,Private room,1,2.0,1.0,69.0,Yes,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,Yes,0.02,1.0,69.0
139,4916186,within a few hours,100.0,84.0,No,Yes,Geylang,1.31505,103.88746,Entire home/apt,2,1.0,,90.0,Yes,24,2,0,4.78,4.88,4.83,4.83,4.92,4.71,4.67,No,0.29,,45.0
141,4926192,within a few hours,100.0,23.0,No,Yes,Kallang,1.316,103.86134,Private room,2,1.0,1.0,150.0,No,0,0,0,,,,,,,,No,,2.0,75.0
142,4926634,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.31113,103.88132,Private room,3,1.0,1.0,90.0,Yes,168,0,0,4.44,4.64,4.4,4.7,4.62,4.4,4.49,Yes,1.99,2.0,30.0
144,4973227,within a few hours,98.0,84.0,Yes,Yes,Downtown Core,1.28945,103.84879,Entire home/apt,2,1.0,,163.0,Yes,119,5,2,4.72,4.74,4.83,4.76,4.89,4.91,4.61,Yes,1.43,,81.5
148,4990392,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.31149,103.88161,Private room,2,1.0,1.0,64.0,Yes,81,0,0,4.2,4.55,4.33,4.69,4.68,4.36,4.35,Yes,0.96,1.0,32.0
151,5024661,within a few hours,100.0,84.0,No,Yes,Geylang,1.31505,103.88627,Entire home/apt,4,2.0,2.0,130.0,Yes,78,3,0,4.72,4.87,4.85,4.79,4.87,4.42,4.66,No,0.96,4.0,32.5
153,5052014,within a few hours,93.0,63.0,Yes,Yes,Outram,1.27428,103.84133,Entire home/apt,2,1.0,,149.0,Yes,9,2,2,4.78,4.78,4.78,4.89,4.89,4.78,4.78,No,0.11,,74.5
155,5118006,within an hour,100.0,55.79398359161349,No,Yes,Geylang,1.31154,103.88165,Private room,2,1.0,1.0,64.0,Yes,67,0,0,4.13,4.34,4.2,4.63,4.55,4.25,4.11,Yes,0.8,1.0,32.0
157,5253599,within a few hours,95.0,4.0,Yes,Yes,Kallang,1.3171,103.85742,Entire home/apt,2,1.0,,70.0,Yes,12,0,0,4.7,5.0,5.0,4.9,5.0,4.5,4.7,No,0.15,,35.0
158,5319766,Unknown,0.0,0.0,No,No,Outram,1.28185,103.84657,Private room,2,1.0,1.0,160.0,No,0,0,0,,,,,,,,No,,1.0,80.0
159,5339318,within a day,80.0,0.0,No,Yes,Rochor,1.30358,103.84575,Entire home/apt,3,1.0,2.0,224.0,Yes,3,0,0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,No,0.04,4.0,74.66666666666667
160,5355795,within a few hours,100.0,85.0,Yes,Yes,Rochor,1.30364,103.85485,Entire home/apt,2,1.0,1.0,86.0,Yes,251,11,1,4.69,4.83,4.8,4.94,4.96,4.79,4.63,No,3.02,1.0,43.0
161,5376182,within a few hours,100.0,85.0,Yes,Yes,Rochor,1.30584,103.85611,Entire home/apt,2,1.0,1.0,96.0,Yes,205,6,0,4.73,4.89,4.78,4.94,4.95,4.78,4.68,No,2.51,1.0,48.0
162,5377342,within a few hours,100.0,85.0,Yes,Yes,Rochor,1.30551,103.85604,Entire home/apt,2,1.0,1.0,84.0,Yes,294,5,0,4.75,4.79,4.81,4.97,4.97,4.8,4.73,No,3.54,1.0,42.0
166,5464246,within a few hours,100.0,36.0,No,Yes,Geylang,1.32812,103.88436,Private room,2,1.0,1.0,112.0,Yes,11,0,0,4.91,5.0,5.0,5.0,5.0,4.82,4.91,No,0.15,1.0,56.0
176,5634851,within a few hours,95.0,4.0,Yes,Yes,Kallang,1.31486,103.85689,Entire home/apt,2,1.0,,85.0,Yes,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,No,0.04,,42.5
178,5739284,within a few hours,100.0,84.0,No,Yes,Geylang,1.31304,103.88797,Entire home/apt,2,1.0,1.0,82.0,Yes,42,1,0,4.76,4.8,4.64,4.81,4.86,4.31,4.83,No,0.51,1.0,41.0
184,5854894,within a few hours,98.0,59.0,Yes,Yes,Kallang,1.31428,103.85542,Private room,2,1.0,1.0,45.0,Yes,23,5,0,4.43,4.65,4.61,4.83,4.45,4.48,4.65,No,0.3,1.0,22.5
186,5889741,within a day,100.0,36.0,No,Yes,Rochor,1.30153,103.85344,Entire home/apt,3,1.0,1.0,168.0,Yes,212,3,1,4.8,4.83,4.79,4.93,4.95,4.93,4.74,No,2.6,3.0,56.0
187,5908083,within a few hours,98.0,59.0,Yes,Yes,Kallang,1.31642,103.85759,Entire home/apt,4,1.0,1.0,98.0,Yes,77,8,0,4.6,4.7,4.57,4.78,4.58,4.55,4.36,No,0.97,2.0,24.5
191,6099703,within a few hours,100.0,84.0,No,Yes,Geylang,1.31471,103.88627,Entire home/apt,2,1.0,1.0,70.0,Yes,147,1,1,4.82,4.88,4.84,4.81,4.9,4.63,4.78,No,1.81,1.0,35.0
192,6117032,within a few hours,100.0,84.0,No,Yes,Geylang,1.31445,103.88806,Entire home/apt,2,1.0,1.0,80.0,Yes,130,1,0,4.68,4.87,4.79,4.73,4.85,4.42,4.77,No,1.6,1.0,40.0
193,6120794,within a day,82.0,70.0,Yes,Yes,Geylang,1.3176,103.89445,Entire home/apt,2,1.0,1.0,64.0,Yes,66,1,0,4.73,4.82,4.86,4.8,4.78,4.46,4.69,No,0.81,1.0,32.0
194,6128096,within a few hours,100.0,84.0,No,Yes,Geylang,1.315,103.88824,Entire home/apt,2,1.0,1.0,80.0,Yes,66,0,0,4.61,4.65,4.76,4.88,4.77,4.55,4.63,No,0.84,,40.0
195,6142390,within a day,82.0,70.0,Yes,Yes,Geylang,1.31355,103.88715,Entire home/apt,2,1.0,1.0,83.0,Yes,31,0,0,4.65,4.77,4.77,4.84,4.84,4.61,4.45,No,0.38,1.0,41.5
196,6142880,within a few hours,100.0,84.0,No,Yes,Geylang,1.31327,103.88735,Entire home/apt,1,1.0,1.0,72.0,Yes,33,0,0,4.82,4.78,4.84,4.63,4.81,4.56,4.63,No,0.41,1.0,72.0
198,6183734,within a few hours,100.0,84.0,No,Yes,Geylang,1.31341,103.88667,Entire home/apt,2,1.0,1.0,74.0,Yes,86,4,0,4.74,4.81,4.8,4.88,4.85,4.51,4.78,No,1.08,1.0,37.0
203,6271100,within a few hours,100.0,84.0,No,Yes,Outram,1.28391,103.84382,Entire home/apt,2,1.0,1.0,98.0,Yes,33,2,0,4.73,4.88,4.76,4.91,4.97,4.97,4.85,No,0.42,1.0,49.0
205,6300043,within a day,82.0,70.0,Yes,Yes,Outram,1.28353,103.84532,Entire home/apt,2,1.0,,75.0,Yes,51,0,0,4.63,4.88,4.78,4.73,4.75,4.94,4.8,No,0.73,,37.5
206,6300577,within a few hours,100.0,36.0,No,Yes,Geylang,1.32874,103.88439,Private room,1,1.0,1.0,94.0,Yes,25,1,1,4.76,4.92,4.88,5.0,5.0,4.76,4.56,No,0.32,1.0,94.0
207,6305559,within a few hours,87.0,0.0,No,No,Downtown Core,1.28191,103.85202,Private room,1,1.0,1.0,90.0,Yes,1,0,0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,No,0.01,1.0,90.0
208,6317686,within a few hours,90.0,91.0,Yes,Yes,Outram,1.2841,103.84253,Private room,1,1.0,1.0,69.0,Yes,1,0,0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,Yes,0.02,1.0,69.0
210,6352827,within an hour,100.0,93.0,No,Yes,Geylang,1.31192,103.87922,Private room,3,1.0,1.0,62.0,Yes,126,2,0,4.56,4.69,4.56,4.85,4.88,4.49,4.57,No,2.14,1.0,20.666666666666668
211,6381495,within a day,82.0,70.0,Yes,Yes,Geylang,1.31614,103.88686,Entire home/apt,2,1.0,1.0,83.0,Yes,60,0,0,4.87,4.88,4.88,4.82,4.8,4.58,4.78,No,0.75,1.0,41.5
212,6426551,within a few hours,100.0,84.0,No,Yes,Geylang,1.31454,103.88624,Entire home/apt,4,2.0,2.0,130.0,Yes,60,0,0,4.68,4.85,4.83,4.93,4.83,4.63,4.73,No,0.76,4.0,32.5
213,6431505,within a few hours,100.0,84.0,No,Yes,Geylang,1.31511,103.88796,Entire home/apt,2,1.0,1.0,74.0,Yes,65,0,0,4.72,4.77,4.8,4.8,4.8,4.54,4.74,No,0.82,1.0,37.0
215,6477665,within a few hours,100.0,84.0,No,Yes,Geylang,1.31537,103.88684,Entire home/apt,2,1.0,1.0,68.0,Yes,55,1,1,4.78,4.89,4.85,4.85,4.85,4.43,4.78,No,0.69,1.0,34.0
221,6619955,within a few hours,100.0,84.0,No,Yes,Geylang,1.31501,103.88789,Entire home/apt,2,1.0,1.0,80.0,Yes,64,2,0,4.78,4.88,4.8,4.89,4.89,4.67,4.86,No,0.83,1.0,40.0
223,6620271,within a few hours,80.0,20.0,No,No,Geylang,1.31697,103.89104,Private room,2,1.0,1.0,69.0,Yes,0,0,0,,,,,,,,No,,1.0,34.5
225,6638508,within an hour,100.0,100.0,Yes,Yes,Kallang,1.3124,103.85758,Private room,1,1.0,1.0,76.0,Yes,15,1,0,5.0,4.93,5.0,5.0,5.0,4.93,4.86,No,0.19,1.0,76.0
226,6663672,Unknown,0.0,0.0,No,No,Downtown Core,1.27914,103.85002,Private room,2,0.0,1.0,98.0,No,0,0,0,,,,,,,,No,,2.0,49.0
228,6679887,within a few hours,100.0,84.0,No,Yes,Geylang,1.31313,103.88681,Entire home/apt,4,2.0,2.0,130.0,Yes,49,0,0,4.57,4.76,4.73,4.76,4.73,4.49,4.61,No,0.62,4.0,32.5
233,6750089,within a few hours,80.0,20.0,No,No,Geylang,1.31665,103.89108,Private room,2,1.0,1.0,75.0,Yes,0,0,0,,,,,,,,No,,1.0,37.5
237,6889842,within a few hours,100.0,84.0,No,Yes,Geylang,1.31316,103.88822,Entire home/apt,2,1.0,1.0,75.0,Yes,61,0,0,4.67,4.84,4.84,4.9,4.86,4.51,4.71,No,0.77,1.0,37.5
238,6890874,a few days or more,0.0,55.79398359161349,No,Yes,Outram,1.28389,103.84025,Private room,2,1.0,1.0,280.0,Yes,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,0.05,1.0,140.0
239,6891630,within an hour,100.0,97.0,No,Yes,Kallang,1.31011,103.86325,Private room,1,3.0,1.0,59.0,Yes,4,0,0,4.75,4.75,4.5,5.0,5.0,4.75,4.75,No,0.06,1.0,59.0
240,6906010,within a few hours,100.0,84.0,No,Yes,Outram,1.28328,103.8437,Entire home/apt,2,1.0,,77.0,Yes,55,1,0,4.71,4.73,4.75,4.8,4.85,4.93,4.72,No,0.71,,38.5
242,6958476,within a few hours,100.0,84.0,No,Yes,Geylang,1.314,103.8879,Entire home/apt,2,1.0,,73.0,Yes,38,1,0,4.76,4.92,4.71,4.89,4.95,4.65,4.83,No,0.48,,36.5
243,6983613,within a day,82.0,70.0,Yes,Yes,Geylang,1.3141,103.88591,Entire home/apt,2,1.0,1.0,84.0,Yes,45,0,0,4.82,4.84,4.91,4.91,4.86,4.45,4.7,No,0.58,1.0,42.0
244,6993627,within a day,82.0,70.0,Yes,Yes,Geylang,1.31469,103.88547,Entire home/apt,2,1.0,1.0,70.0,Yes,88,1,0,4.78,4.93,4.83,4.9,4.78,4.55,4.83,No,1.12,1.0,35.0
245,7105265,within a few hours,90.0,91.0,Yes,Yes,Geylang,1.3149,103.88133,Private room,1,1.0,1.0,37.0,Yes,0,0,0,,,,,,,,Yes,,1.0,37.0
246,7117201,Unknown,0.0,0.0,No,No,Kallang,1.32614,103.8634,Entire home/apt,2,1.0,,200.0,Yes,0,0,0,,,,,,,,No,,,100.0
247,7138922,within a day,82.0,70.0,Yes,Yes,Geylang,1.31577,103.88583,Entire home/apt,2,1.0,1.0,75.0,Yes,32,0,0,4.81,4.94,4.81,4.97,4.9,4.73,4.77,No,0.42,1.0,37.5
248,7154662,within a few hours,100.0,84.0,No,Yes,Geylang,1.31558,103.88634,Entire home/apt,4,2.0,2.0,140.0,Yes,11,1,0,4.73,4.91,4.82,5.0,4.82,4.64,4.64,No,0.14,4.0,35.0
258,7381770,within a few hours,100.0,84.0,No,Yes,Geylang,1.31485,103.88828,Entire home/apt,4,2.0,2.0,130.0,Yes,57,1,0,4.73,4.86,4.77,4.93,4.88,4.63,4.7,No,0.73,4.0,32.5
261,7466596,within a few hours,95.0,4.0,Yes,Yes,Kallang,1.31519,103.85735,Entire home/apt,2,1.0,,100.0,Yes,0,0,0,,,,,,,,No,,,50.0
263,7595693,within a few hours,100.0,84.0,No,Yes,Geylang,1.31346,103.88742,Entire home/apt,2,1.0,1.0,90.0,Yes,11,1,0,4.82,4.9,4.64,4.5,4.8,4.6,4.5,No,0.15,1.0,45.0
265,7632462,within a few hours,100.0,84.0,No,Yes,Geylang,1.31546,103.88808,Entire home/apt,2,1.0,1.0,88.0,Yes,12,0,0,4.92,4.82,4.73,4.73,4.73,4.73,4.91,No,0.15,1.0,44.0
267,7653937,within an hour,100.0,97.0,No,Yes,Kallang,1.3073,103.86344,Private room,1,3.0,1.0,59.0,Yes,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,No,0.02,1.0,59.0
268,7662310,within a few hours,100.0,84.0,No,Yes,Geylang,1.31507,103.88751,Entire home/apt,2,1.0,1.0,70.0,Yes,83,1,0,4.87,4.84,4.86,4.9,4.87,4.67,4.82,No,1.09,1.0,35.0
